cat_en,cat_th,description_en,description_th,bgg_url,pic_url
Fantasy ,แฟนตาซี,"Fantasy games are those that have themes and scenarios that exist in a fictional world. It is a genre that uses magic and other supernatural forms as a primary element of plot, theme, and/or setting. Fantasy is generally distinguished from science fiction and horror by the expectation that it steers clear of scientific and macabre themes, respectively, though there can be a great deal of overlap between the three.

Fantasy game elements usually include:
- Creatures that are common in fantasy books and comics, such as orcs, trolls, goblins, dragons, etc.
- Magic that can be used with units or abilities
- Can involve a struggle between good and evil forces.","เกมแฟนตาซีคือเกมที่มีธีมและสถานการณ์ที่มีอยู่ในโลกสมมติ เป็นประเภทที่ใช้เวทมนตร์และรูปแบบเหนือธรรมชาติอื่นๆ เป็นองค์ประกอบหลักของโครงเรื่อง ธีม และ/หรือฉาก 

องค์ประกอบของเกมแฟนตาซีมักประกอบด้วย:
- สิ่งมีชีวิตที่พบได้ทั่วไปในหนังสือแฟนตาซีและการ์ตูน เช่น ออร์ค โทรลล์ ก็อบลิน มังกร ฯลฯ
- เวทย์มนตร์ที่สามารถใช้ได้
- การต่อสู้ระหว่างกองกำลังที่ดีและชั่วร้าย",https://boardgamegeek.com/boardgamecategory/1010/fantasy,https://cf.geekdo-images.com/O46eJo-YYM5QyK415rtGKg__imagepage/img/LUQyN8Pxj__SRXf2GVJvLrolvz8=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6570838.png
Adventure,ผจญภัย,"Adventure games often have themes of heroism, exploration, and puzzle-solving. The storyline behind such games often have fantastical elements, and involve the characters in some sort of quest.",เกมผจญภัยมักมีธีมของความกล้าหาญ การสำรวจ และการไขปริศนา เนื้อเรื่องเบื้องหลังเกมประเภทนี้มักจะมีองค์ประกอบที่น่าอัศจรรย์ และเกี่ยวข้องกับตัวละครในภารกิจ,https://boardgamegeek.com/boardgamecategory/1022/adventure,https://cf.geekdo-images.com/vqL5h6izIdZxB5Bs6N5LQA__imagepage/img/X_QFMgTQu0fJuP4KHJgDhzeh2qI=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3696754.png
Wargame,สงคราม,"Wargames are games that depict military actions. Wargames are set in a variety of timelines, from the Ancient period to present conflicts and even in the future. Thematically, Wargames cover everything from actions between small units on a very small board to larger, extremely detailed conflicts and even global-scale wars. Although most Wargames are based on historical situations, there are Wargames based on fantasy or science fiction, as well as Wargames based on hypothetical but historically-based situations (e.g., nuclear war between the Soviet Union and the USA). Probably the most popular period for Wargames is World War II, followed by the Napoleonic Wars and the American Civil War. However, Wargames cover a vast range of conflicts, and if you are interested in a particular war you are quite likely to be able to find a game that covers it in some way.",เกมสงครามเป็นเกมที่แสดงถึงการกระทำทางทหาร มีเรื่องราวเกิดขึ้นในช่วงเวลาที่หลากหลาย ตั้งแต่ยุคโบราณจนถึงความขัดแย้งในปัจจุบัน โดยเกมสงครามจะครอบคลุมทุกอย่างตั้งแต่การกระทำระหว่างหน่วยเล็ก ๆ บนกระดานไปจนถึงความขัดแย้งที่ใหญ่ขึ้นและมีรายละเอียดที่มาก หรือแม้แต่สงครามระดับโลก แม้ว่าเกมสงครามส่วนใหญ่จะอิงจากสถานการณ์ทางประวัติศาสตร์ แต่ก็มีเกมสงครามที่สร้างจากแฟนตาซีหรือนิยายวิทยาศาสตร์,https://boardgamegeek.com/boardgamecategory/1019/wargame,https://cf.geekdo-images.com/1X53IqHHNVKaQD9YhFoAtw__imagepage/img/wYA8WeOSlJ_xtpRuvL4XFESt7G8=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3901238.png
Fighting,ต่อสู้,"Fighting games are those that encourage players to engage game characters in close quarter battles and hand-to-hand combat.
Fighting games differ from Wargames in that the combat in Wargames exists as one part of a large-scale military simulation, while in Fighting games the focus is on the particular combat scenarios.",เกมต่อสู้เป็นเกมที่ส่งเสริมให้ผู้เล่นมีส่วนร่วมกับตัวละครในเกมในการต่อสู้ โดยต่างจากเกมสงครามตรงที่ การต่อสู้ในเกมสงครามเป็นส่วนหนึ่งของการจำลองการทหารขนาดใหญ่ ในขณะที่เกมต่อสู้จะเน้นที่สถานการณ์การต่อสู้โดยเฉพาะ,https://boardgamegeek.com/boardgamecategory/1046/fighting,https://cf.geekdo-images.com/uDYu8FHWWYb6Tbih_A6SGA__imagepage/img/e2_8_d-o04-K-VI55pScPkxYbno=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3761842.png
Party,ปาร์ตี้,"Party games are games that encourage social interaction. They generally have easy setups and simple rules, and they can accommodate large groups of people and play in a short amount of time.",เกมปาร์ตี้เป็นเกมที่ส่งเสริมการมีปฏิสัมพันธ์ทางสังคม โดยทั่วไปจะมีเพียงกฎเกณฑ์ง่าย ๆ สามารถรองรับผู้คนจำนวนมากและเล่นได้ในระยะเวลาอันสั้น,https://boardgamegeek.com/boardgamecategory/1030/party-game,https://cf.geekdo-images.com/mYM4wwjODC-OfxMe6MYF4w__imagepage/img/n9_X9KzzmyxUlAlGKEBqX6tmltw=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3901214.png
Bluffing,การบลัฟ,Bluffing games encourage players to use deception to achieve their aims. All Bluffing games have an element of hidden information in them.,เกมบลัฟสนับสนุนให้ผู้เล่นใช้การหลอกลวงเพื่อบรรลุเป้าหมาย เกมบลัฟทั้งหมดจะมีข้อมูลหรือบทบาทที่ซ่อนอยู่ในแต่ละตน,https://boardgamegeek.com/boardgamecategory/1023/bluffing,https://cf.geekdo-images.com/vlpgNj6eLvgonOx1UtDcFg__imagepage/img/5EIDmGIrS0rL4PqKYbIjMN6h2ZU=/fit-in/900x600/filters:no_upscale():strip_icc()/pic7323789.png
Humor,อารมณ์ขัน,"Humor games often have themes and gameplay that provoke laughter and amusement. More specifically, humor games may require players to engage in clowning, comedy, jokes, and/or satire as an objective of the game.",เกมแนวอารมณ์ขันมักมีธีมและรูปแบบการเล่นที่กระตุ้นให้เกิดเสียงหัวเราะและความสนุกสนาน โดยเฉพาะอย่างยิ่ง เกมที่มีอารมณ์ขันอาจกำหนดให้ผู้เล่นมีส่วนร่วมในการแสดงตลก เรื่องตลก หรือเสียดสีตามวัตถุประสงค์ของเกม,https://boardgamegeek.com/boardgamecategory/1079/humor,https://cf.geekdo-images.com/LkvIaYn1UJg3vZSiEQp9xQ__imagepage/img/_JZCLFuOfv80V0ZYbW_Oms0fUo4=/fit-in/900x600/filters:no_upscale():strip_icc()/pic6570841.png
Negotiation,เจรจา,"Negotiation games explicitly involve and encourage making deals and alliances with other players and backstabbing when appropriate. Winning is rare without participating in these deals. Unlike cooperative games, Negotiation games are still largely competitive, while granting players certain times to make mutual agreements through discussion.
Negotiation also includes bribery, such as is used in Santiago or Power Struggle. In these situations, the negotiation is in the form of a naked offer, which can be accepted or declined.",เกมการเจรจาเป็นเกมที่มีการสนับสนุนการทำข้อตกลง การติดสินบน การเป็นพันธมิตรกับผู้เล่นคนอื่น ๆ และการแทงข้างหลังเมื่อเหมาะสม การชนะนั้นหาได้ยากหากไม่ได้เข้าร่วมในข้อตกลงเหล่านี้ ต่างจากเกมร่วมมือ เกมการเจรจายังคงมีการแข่งขันกันเป็นส่วนใหญ่ ขณะเดียวกันก็ให้เวลาผู้เล่นในการทำข้อตกลงร่วมกันผ่านการสนทนา,https://boardgamegeek.com/boardgamecategory/1026/negotiation,https://cf.geekdo-images.com/3IMQZ0FMD7THiri4xhQOZw__itemrep/img/tnoeresNamv3IhN9o2hASA26X3Q=/fit-in/246x300/filters:strip_icc()/pic888222.jpg
Economic,เศรษฐกิจ,"Economic games encourage players to manage a system of production, distribution, trade, and/or consumption of goods. The games usually simulate a market in some way. The term is often used interchangeably with resource management games.",เกมเศรษฐกิจสนับสนุนให้ผู้เล่นจัดการระบบการผลิต การจำหน่าย การค้า การบริโภคสินค้า และการจัดการทรัพยากร โดยเกมมักจะจำลองตลาดไม่ทางใดก็ทางหนึ่ง,https://boardgamegeek.com/boardgamecategory/1021/economic,https://cf.geekdo-images.com/cMqEhizADXKXreronM2iXQ__itemrep/img/26pT1tDfZrBKz242SKQncuDQCoI=/fit-in/246x300/filters:strip_icc()/pic6570839.png
City Building,สร้างเมือง,"City Building games compel players to construct and manage a city in a way that is efficient, powerful, and/or lucrative.",เกมสร้างเมืองบังคับให้ผู้เล่นสร้างและจัดการเมืองด้วยวิธีที่มีประสิทธิภาพ ทรงพลัง และมีกำไรมากที่สุด,https://boardgamegeek.com/boardgamecategory/1029/city-building,https://cf.geekdo-images.com/z6HeK7YtEFSxtG1WAp0bjw__imagepage/img/tUD9w0-rVS2LM47jvnRwJN8Et7E=/fit-in/900x600/filters:no_upscale():strip_icc()/pic3697699.jpg
Civilization,อารยธรรม,"Civilization games often have players developing and managing a society of people. The aim of each player is usually to employ citizens in ways that are beneficial to society, and have them progress throughout the game so that their civilization gains superiority over others. Civilization games may have each player build their society independently, or through warfare and diplomacy, each player may find themselves benefiting or suffering from the actions of others.",เกมอารยธรรมมักมีผู้เล่นพัฒนาและจัดการสังคมของผู้คน เป้าหมายของผู้เล่นแต่ละคนคือการจ้างพลเมืองในลักษณะที่เป็นประโยชน์ต่อสังคม และให้พวกเขาก้าวหน้าตลอดทั้งเกมเพื่อให้อารยธรรมของพวกเขามีความเหนือกว่าผู้อื่น เกมอารยธรรมอาจให้ผู้เล่นแต่ละคนสร้างสังคมของตนเองโดยอิสระ หรือผ่านการทำสงครามและการทูต ผู้เล่นแต่ละคนอาจได้รับประโยชน์หรือความหายนะจากการกระทำของผู้อื่น,https://boardgamegeek.com/boardgamecategory/1015/civilization,https://cf.geekdo-images.com/UzLe6tZ6ERlIElEGCI7oCA__itemrep/img/tk0Cd3tWSjpAXC2HHfhcTQYU_bw=/fit-in/246x300/filters:strip_icc()/pic3900819.png
Political,การเมือง,Political games encourage players to use their character's authority to manipulate societal activities and policy.,เกมการเมืองสนับสนุนให้ผู้เล่นใช้อำนาจของตัวละครเพื่อบิดเบือนกิจกรรมและนโยบายทางสังคม,https://boardgamegeek.com/boardgamecategory/1001/political,https://cf.geekdo-images.com/Blawh30Rlgz3RanYY45YKQ__itemrep/img/WMoThOq6BYxA-qdZJ7f_jWIvV0s=/fit-in/246x300/filters:strip_icc()/pic3901217.png
Puzzle,ปริศนา,"Puzzle games are those in which the players are trying to solve a puzzle. Many Puzzle games require players to use problem solving, pattern recognition, organization and/or sequencing to reach their objectives.",เกมปริศนาเป็นเกมที่ผู้เล่นต้องพยายามไขปริศนา โดยเกมไขปริศนามักจะให้ผู้เล่นได้ใช้ทักษะการแก้ปัญหา การจดจำรูปแบบ การจัดระเบียบ หรือการเรียงลำดับเพื่อบรรลุเป้าหมาย,https://boardgamegeek.com/boardgamecategory/1028/puzzle,https://cf.geekdo-images.com/hi9lDp7SZr4OCG5xsZ9v2g__itemrep/img/dMnRmHDAm7X0sJHrhreBEZGfyt0=/fit-in/246x300/filters:strip_icc()/pic3901220.png
Horror,สยองขวัญ,Horror games often contain themes and imagery depicting morbid and supernatural elements.,เกมสยองขวัญมักมีธีมและภาพที่แสดงถึงองค์ประกอบที่น่ากลัว เจ็บปวด และเหนือธรรมชาติ,https://boardgamegeek.com/boardgamecategory/1024/horror,https://cf.geekdo-images.com/gr7nlZh_idBpM0Av0Q-f_A__crop100/img/UGJgBixLfqKYG3ZNwPSEkcc5tLc=/100x100/filters:strip_icc()/pic6570842.png
Murder/Mystery,ฆาตกรรม/ลึกลับ,"Murder/Mystery games often involve an unsolved murder or murders. A requirement of these games is usually for players to investigate these crimes, and determine the criminal details and/or perpetrator(s).",เกมฆาตกรรม/ลึกลับมักเกี่ยวข้องกับการฆาตกรรมหรือการฆาตกรรมที่ยังไม่คลี่คลาย โดยปกติแล้วเกมเหล่านี้จะให้ผู้เล่นสืบสวนอาชญากรรม ระบุรายละเอียดของของฆาตกร หรือผู้กระทำผิด,https://boardgamegeek.com/boardgamecategory/1040/murdermystery,https://cf.geekdo-images.com/D3iC4LDb1GOEKrrgosfCmg__itemrep/img/ZdBF8ww29wVSOSUs174XueSrQ6A=/fit-in/246x300/filters:strip_icc()/pic3901204.png
Science Fiction,นิยายวิทยาศาสตร์,"Science Fiction games often have themes relating to imagined possibilities in the sciences. Such games need not be futuristic; they can be based on an alternative past. (For example, the writings of Jules Verne and the Star Wars saga are set before present time.) Many of the most popular Science Fiction games are set in outer space, and often involve alien races.",เกมนิยายวิทยาศาสตร์มักจะมีธีมที่เกี่ยวข้องกับความเป็นไปได้ในจินตนาการทางวิทยาศาสตร์ โดยไม่จำเป็นต้องเป็นเกมแห่งอนาคต สามารถมีพื้นฐานมาจากทางเลือกในอดีต เกมนิยายวิทยาศาสตร์ยอดนิยมหลายเกมมีเรื่องราวเกิดขึ้นในอวกาศ และมักเกี่ยวข้องกับเผ่าพันธุ์เอเลี่ยน,https://boardgamegeek.com/boardgamecategory/1016/science-fiction,https://cf.geekdo-images.com/snqx33Bl6ahrlk1NZZa5zw__itemrep/img/CsaO-gm51T-oPnfnkhLeAru7YJ0=/fit-in/246x300/filters:strip_icc()/pic6570855.png
Educational,การศึกษา,"Educational games have been specifically designed to teach people about a certain subject, expand concepts, reinforce development, understand an historical event or culture, or assist them in learning a skill as they play.",เกมการศึกษาได้รับการออกแบบมาโดยเฉพาะเพื่อสอนผู้คนเกี่ยวกับวิชาเฉพาะ ขยายแนวความคิด เสริมสร้างการพัฒนา ทำความเข้าใจเหตุการณ์หรือวัฒนธรรมทางประวัติศาสตร์ หรือช่วยเหลือพวกเขาในการเรียนรู้ทักษะในขณะที่เล่น,https://boardgamegeek.com/boardgamecategory/1094/educational,https://cf.geekdo-images.com/0iwWeCgDPiApuOMRYEPPWg__itemrep/img/XL3iZaBmFmngsvJ-zYrTHr-3wGA=/fit-in/246x300/filters:strip_icc()/pic3900824.png
Action / Dexterity,ความคล่องแคล่ว,Action/Dexterity games often compete players' physical reflexes and co-ordination as a determinant of overall success.,เกมแอ็กชัน/ความคล่องแคล่ว มักจะแข่งขันกับการตอบสนองทางกายภาพและการประสานงานของผู้เล่น,https://boardgamegeek.com/boardgamecategory/1032/action-dexterity,https://cf.geekdo-images.com/73UHZszEX6sP5xOF_bvsZg__itemrep/img/_mwgULIFNso7s9CRl4tWhMYjsMQ=/fit-in/246x300/filters:strip_icc()/pic3900815.png
Children's Game,เกมเด็ก,"Children's Games are often driven by a set of simple rules and elementary themes geared towards younger players. However, the most popular Children's Games are just that because they can be (and are) enjoyed by gamers of all ages.",เกมสำหรับเด็กมักขับเคลื่อนด้วยชุดกฎง่ายๆ และธีมเบื้องต้นที่มุ่งเน้นผู้เล่นอายุน้อย อย่างไรก็ตามเกมเมอร์ทุกวัยก็สามารถเพลิดเพลินไปกับมันได้,https://boardgamegeek.com/boardgamecategory/1041/childrens-game,https://cf.geekdo-images.com/in9_LLcEigWYErWv7r3lJQ__crop100/img/ncS4i6biyV-9B8ocfj7ZySeNUaE=/100x100/filters:strip_icc()/pic3900818.png
All,ทั้งหมด,The system will recommend all categories of games for you.,ระบบจะแนะนำเกมทุกหมวดหมู่ให้กับคุณ,,https://frontend-final-project-xfq6aspcta-as.a.run.app/Logo.png
